Supplemental Table 1: Secreted Proteins Across Multi-Omics Analyses				
Gene	Correlation with CD8 T cell signature	Down in multiple tumor types	High expression in Fibroblast	Up in ICB responders
CPXM1	No	No	Yes	No
GOLGA3	No	No	Yes	No
ANGPT2	No	No	Yes	No
CCDC80	No	No	Yes	Yes
SORBS1	No	No	Yes	No
ABL1	No	No	Yes	No
MMP11	No	No	Yes	No
GGT5	No	No	Yes	No
NFATC4	No	No	Yes	No
RNF24	No	No	Yes	No
MIB1	No	No	Yes	No
MXRA5	No	No	Yes	Yes
SRPX2	No	No	Yes	No
CSPP1	No	No	Yes	No
NIPAL2	No	No	Yes	No
ARHGEF10	No	No	Yes	No
DMPK	No	No	Yes	No
NUMBL	No	No	Yes	No
CLIP3	No	No	Yes	No
PTPRS	No	No	Yes	No
PTN	No	No	Yes	No
PCOLCE	No	No	Yes	Yes
SFRP4	No	No	Yes	Yes
GLI3	No	No	Yes	No
ASPN	No	No	Yes	No
DNM1	No	No	Yes	No
MPDZ	No	No	Yes	No
ACTA2	No	No	Yes	No
DKK1	No	No	Yes	No
GAB1	No	No	Yes	No
ZBTB16	No	No	Yes	No
ARHGEF17	No	No	Yes	No
SASH1	No	No	Yes	No
SMOC2	No	No	Yes	No
PTK7	No	No	Yes	No
LOX	No	No	Yes	No
THBS4	No	No	Yes	No
PDGFRB	No	No	Yes	No
WNT5A	No	No	Yes	No
COL7A1	No	No	Yes	No
ACVR1	No	No	Yes	No
TANC1	No	No	Yes	No
EFHD1	No	No	Yes	No
PRRX1	No	No	Yes	No
NID1	No	No	Yes	No
MFAP2	No	No	Yes	No
SGIP1	No	No	Yes	No
RNF146	No	No	Yes	No
PKD2	No	No	Yes	No
LTBP2	No	No	Yes	No
TGFB3	No	No	Yes	No
GLT8D2	No	No	Yes	No
KCNJ8	No	No	Yes	No
FMOD	No	No	Yes	No
BICC1	No	No	Yes	No
RASSF8	No	No	Yes	No
SSPN	No	No	Yes	No
ATG101	No	No	Yes	No
COL10A1	No	No	Yes	No
CHPF	No	No	Yes	No
EDN3	No	No	Yes	No
PTGIS	No	No	Yes	No
BMP4	No	No	Yes	No
RHOJ	No	No	Yes	No
HIP1	No	No	Yes	No
KDR	No	No	Yes	No
ALDH1A2	No	No	Yes	No
ISLR	No	No	Yes	No
LOXL1	No	No	Yes	Yes
ADCY4	No	No	Yes	No
DOCK6	No	No	Yes	No
CNN1	No	No	Yes	No
COL5A1	No	No	Yes	No
HIGD1B	No	No	Yes	No
GFPT2	No	No	Yes	No
AOC3	No	No	Yes	No
ANO1	No	No	Yes	No
MYH10	No	No	Yes	No
POSTN	No	No	Yes	Yes
C1QTNF6	No	No	Yes	No
LOXL2	No	No	Yes	Yes
MEIS2	No	No	Yes	No
PTGFRN	No	No	Yes	No
ROCK2	No	No	Yes	No
NAV1	No	No	Yes	No
FADS2	No	No	Yes	No
PDGFRA	No	No	Yes	No
TBX3	No	No	Yes	No
RAPGEF5	No	No	Yes	No
ANGPTL2	No	No	Yes	No
LRRC32	No	No	Yes	No
SULF1	No	No	Yes	No
MMP13	No	No	Yes	No
ITGA11	No	No	Yes	No
STRA6	No	No	Yes	No
LRPPRC	No	No	Yes	No
ARHGAP24	No	No	Yes	No
PDE5A	No	No	Yes	No
LUM	No	No	Yes	Yes
SNRPF	No	No	Yes	No
FRMD6	No	No	Yes	No
PMM2	No	No	Yes	No
TGFB1I1	No	No	Yes	No
CDH11	No	No	Yes	No
CDH13	No	No	Yes	No
ZCCHC14	No	No	Yes	No
GALNS	No	No	Yes	No
SLC14A1	No	No	Yes	No
COL6A2	No	No	Yes	Yes
RCN3	No	No	Yes	No
RGS5	No	No	Yes	No
RGS16	No	No	Yes	No
HMCN1	No	No	Yes	No
ECM1	No	No	Yes	No
CTSK	No	No	Yes	No
CDC42BPA	No	No	Yes	No
REN	No	No	Yes	No
SOX13	No	No	Yes	No
GULP1	No	No	Yes	No
NBEAL1	No	No	Yes	No
RBMS3	No	No	Yes	No
CTDSPL	No	No	Yes	No
PTPRG	No	No	Yes	No
COL8A1	No	No	Yes	No
BOC	No	No	Yes	No
ANK2	No	No	Yes	No
SETD7	No	No	Yes	No
SFRP2	No	No	Yes	Yes
PDGFC	No	No	Yes	Yes
SSBP2	No	No	Yes	No
DAAM2	No	No	Yes	No
ADAM12	No	No	Yes	No
ESAM	No	No	Yes	No
TAGLN	No	No	Yes	No
KIAA1755	No	No	Yes	No
MMP3	No	No	Yes	No
CCDC102B	No	No	Yes	No
DOCK1	No	No	Yes	No
CACNA1C	No	No	Yes	No
EXT2	No	No	Yes	No
ANKRD50	No	No	Yes	No
EDNRA	No	No	Yes	No
ASAP2	No	No	Yes	No
SPOCK1	No	No	Yes	Yes
PTPRD	No	No	Yes	No
THY1	No	No	Yes	No
ROBO3	No	No	Yes	No
PDLIM3	No	No	Yes	No
PIEZO2	No	No	Yes	No
MARVELD1	No	No	Yes	No
MMP16	No	No	Yes	No
FBXO32	No	No	Yes	No
CREB3L1	No	No	Yes	No
C2CD2	No	No	Yes	No
NBL1	No	No	Yes	No
ADAMTS4	No	No	Yes	No
SPON2	No	No	Yes	No
TPPP3	No	No	Yes	No
KALRN	No	No	Yes	No
COX7A1	No	No	Yes	No
CYGB	No	No	Yes	No
RBP7	No	No	Yes	No
FBLIM1	No	No	Yes	No
PDPN	No	No	Yes	No
MXRA8	No	No	Yes	No
DDR2	No	No	Yes	No
SGCB	No	No	Yes	No
COL6A3	No	No	Yes	Yes
NFASC	No	No	Yes	No
PTPN13	No	No	Yes	No
ADAMTS9	No	No	Yes	No
HEYL	No	No	Yes	No
ESM1	No	No	Yes	No
EBF1	No	No	Yes	No
TMEM200A	No	No	Yes	No
DLC1	No	No	Yes	No
CTHRC1	No	No	Yes	No
GJB2	No	No	Yes	No
BTNL9	No	No	Yes	No
FBN1	No	No	Yes	Yes
CLMP	No	No	Yes	No
MMP10	No	No	Yes	No
GREM1	No	No	Yes	No
CERCAM	No	No	Yes	No
NXN	No	No	Yes	No
KRT1	No	No	Yes	No
IGFBP6	No	No	Yes	No
BMP1	No	No	Yes	No
COL3A1	No	No	Yes	Yes
PKIG	No	No	Yes	No
PARM1	No	No	Yes	No
ANTXR1	No	No	Yes	No
LINGO1	No	No	Yes	No
PCDH7	No	No	Yes	No
